Burzenin                1850,        5127,
Busko Zdrój             2048,        5028,
Bychawa                 2233,        5101,
Byczyna                 1813,        5107,
Bydgoszcz               1800,        5307,
Bystrzyca Kłodzka       1638,        5018,
Bytnica                 1509,        5209,
Bytom                   1854,        5023,
Bytom Odrzański         1550,        5144,
Bytoń                   1835,        5234,
Bytów                   1730,        5410,
Cedry Wielkie           1851,        5415,
Cedynia                 1412,        5253,
Cegłów                  2144,        5209,
Cekcyn                  1801,        5335,
Ceków-Kolonia           1818,        5153,
Celestynów              2123,        5203,
Ceranów                 2214,        5238,
Cewice                  1744,        5427,
Charsznica              1956,        5025,
Chąśno                  1956,        5211,
Chełm                   2329,        5108,
Chełmek                 1914,        5006,
Chełmiec                2040,        4938,
Chełmno                 1826,        5321,
Chełmża                 1836,        5312,
Chęciny                 2027,        5048,
Chlewiska               2046,        5115,
Chłopice                2241,        4957,
Chmielnik               2045,        5037,
Chmielnik Rzeszowski    2207,        4959,
Chmielno                1806,        5420,
Choceń                  1901,        5230,
Chocianów               1554,        5125,
Chociwel                1519,        5327,
Chocz                   1753,        5158,
Choczewo                1753,        5445,
Chodecz                 1902,        5224,
Chodel                  2208,        5107,
Chodów                  1902,        5215,
Chodzież                1655,        5259,
Chojna                  1425,        5258,
Chojnice                1733,        5342,
Chojnów                 1556,        5117,
Choreszcz               2259,        5309,
Chorkówka               2141,        4939,
Choroszcz               2259,        5309,
Chorzele                2053,        5316,
Chorzów                 1857,        5018,
Choszczno               1524,        5310,
Chotcza                 2145,        5214,
Chrostkowo              1915,        5357,
Chrzanów katowickie   1924,        5008,
Chrzanów tarnobrzeskie2236,        5046,
Chrząstowice            1804,        5040,
Chrzypsko Wielkie       1614,        5238,
Chybie                  1849,        4954,
Chynów                  2105,        5154,
Ciasna                  1837,        5046,
Ciechanowiec            2230,        5241,
Ciechanów               2038,        5252,
Ciechocin               1856,        5304,
Ciechocinek             1847,        5253,
Cielądz                 2021,        5143,
Ciepielów               2135,        5115,
Ciepłowody              1655,        5041,
Cieplice Śląskie-Zdrój  1541,        5052,
Cieszanów               2308,        5014,
Cieszków                1722,        5138,
Cieszyn                 1838,        4945,
Ciężkowice              2058,        4948,
Cisek                   1813,        5017,
Cisna                   2220,        4913,
Cmolas                  2145,        5018,
Cybinka                 1448,        5212,
Cyców                   2308,        5118,
Czajków                 1821,        5129,
Czaplinek               1614,        5333,
Czarna krośnieńskie   2241,        4919,
Czarna tarnowskie     2115,        5004,
Czarna rzeszowskie    2212,        5007,
Czarna Białostocka      2318,        5318,
Czarna Dąbrówka         1734,        5422,
Czarne                  1656,        5342,
Czarnia                 2111,        5321,
Czarnków                1634,        5254,
Czarnocin kieleckie   2031,        5021,
Czarnocin piotrkowskie 1941,        5135,
Czrnożyły               1834,        5117,
Czarny Bór              1607,        5046,
Czarny Dunajec          1952,        4927,
Czastary                1820,        5116,
Czchów                  2041,        4950,
Czechowice-Dziedzice    1901,        4950,
Czemierniki             2238,        5141,
Czempiń                 1645,        5208,
Czeremcha               2321,        5231,
Czermin rzeszowskie   2120,        5020,
Czermin kaliskie      1745,        5157,
Czernica                1715,        5103,
Czernice Borowe         2043,        5302,
Czernichów              1941,        4959,
Czerniejewo             1729,        5226,
Czerniewice             2010,        5139,
Czernikowo              1856,        5257,
Czersk                  1758,        5348,
Czerwieńsk              1526,        5201,
Czerwin                 2146,        5257,
Czerwińsk nad Wisłą     2018,        5223,
Czerwonak               1659,        5228,
Czerwonka               2112,        5253,
Częstochowa             1907,        5048,
Człopa                  1606,        5305,
Człuchów                1721,        5341,
Czorsztyn               2019,        4926,
Czosnów                 2043,        5224,
Czudec                  2151,        4957,
Czyże                   2326,        5247,
Czyżew-Osada            2218,        5248,
Ćmielów                 2131,        5054,
Daleszyce               2048,        5048,
Dalików                 1906,        5153,
Damasławek              1730,        5250,
Damnica                 1717,        5430,
Darłowo                 1624,        5425,
Daszyna                 1911,        5209,
Dawidgródek             2714,        5203,
Dąbie konińskie       1849,        5205,
Dąbie zielonogórskie  1510,        5201,
Dąbrowa opolskie      1745,        5041,
Dąbrowa bydgoskie     1757,        5244,
Dąbrowa Białostocka     2321,        5339,
Dąbrowa Biskupia        1832,        5247,
Dąbrowa Chełmińska      1818,        5311,
Dąbrowa Górnicza        1916,        5019,
Dąbrowa Tarnowska       2059,        5011,
Dąbrowa Zielona         1933,        5051,
Dąbrowice               1905,        5219,
Dąbrówka                2117,        5229,
Dąbrówno                2003,        5326,
Debrzno                 1714,        5333,
Deszczno                1518,        5240,
Dębe Wielkie            2126,        5212,
Dębica                  2125,        5003,
Dęblin                  2152,        5134,
Dębnica Kaszubska       1710,        5423,
Dębno tarnowskie      2043,        4958,
Dębno gorzowskie      1442,        5244,
Dębowa Kłoda            2301,        5136,
Dębowa Łąka             1906,        5315,
Dębowiec krośnieńskie 2128,        4941,
Dębowiec bielskie     1843,        4948,
Długołęka               1712,        5110,
Długosiodło             2136,        5246,
Dłutów                  1924,        5133,
Dmosin                  1945,        5155,
Dobczyce                2006,        4953,
Dobiegniew              1545,        5258,
Dobra konińskie       1837,        5155,
Dobra nowosądeckie    2015,        4943,
Dobra szczecińskie    1423,        5329,
Dobra szczecińskie    1518,        5334,
Dobrcz                  1809,        5316,
Dobre siedleckie      2141,        5219,
Dobre włocławskie     1833,        5241,
Dobre Miasto            2024,        5359,
Dobrodzień              1827,        5044,
Dobromierz              1615,        5055,
Dobromil                2247,        4934,
Dobroszyce              1721,        5116,
Dobryszyce              1925,        5109,
Dobrzany                1525,        5321,
Dobrzelin               1937,        5214,
Dobrzeń Wielki          1751,        5046,
Dobrzyca                1737,        5152,
Dobrzyniewo Kościelne   2303,        5312,
Dobrzyń nad Wisłą       1920,        5239,
Dolice                  1512,        5311,
Dolsk                   1704,        5159,
Dołhobyczów             2402,        5035,
Domaniewice             1948,        5201,
Domaniów                1708,        5059,
Domaradz                2159,        4948,
Domaszowice             1753,        5103,
Dominowo                1722,        5218,
Dopiewo                 1640,        5221,
Dorohusk                2349,        5109,
Doruchów                1805,        5125,
Dragacz                 1844,        5330,
Drawno                  1545,        5313,
Drawsko                 1602,        5251,
Drawsko Pomorskie       1548,        5332,
Drelów                  2253,        5155,
Drezdenko               1549,        5251,
Drobin                  1959,        5244,
Drohiczyn               2239,        5224,
Drohobycz               2330,        4921,
Drużbice                1924,        5127,
Drwinia                 2026,        5006,
Drzewica                2028,        5127,
Drzycim                 1819,        5331,
Dubeninki               2234,        5418,
Dubicze Cerkiewne       2326,        5239,
Dubiecko                2224,        4950,
Dubienka                2353,        5103,
Dukla                   2141,        4933,
Duszniki                1624,        5227,
Duszniki-Zdrój          1623,        5024,
Dwikozy                 2147,        5044,
Dydnia                  2212,        4941,
Dygowo                  1543,        5408,
Dynów                   2214,        4949,
Dywity                  2029,        5350,
Dziadkowice             2254,        5234,
Dziadowa Kłoda          1742,        5114,
Działdowo               2011,        5314,
Działoszyce             2021,        5022,
Działoszyn              1852,        5107,
Dziemiany               1747,        5401,
Dzierzążnia             2014,        5238,
Dzierzgoń               1921,        5356,
Dzierzgowo              2039,        5309,
Dzierzkowice            2205,        5058,
Dzierżoniów             1638,        5043,
Dziwnów                 1445,        5402,
Dzwola                  2235,        5042,
Dźwierzuty              2058,        5342,
Elbląg                  1924,        5410,
Ełk                     2221,        5329,
Fabianki                1906,        5243,
Fajsławice              2257,        5106,
Fałków                  2006,        5108,
Filipów                 2237,        5411,
Firlej                  2231,        5134,
Frampol                 2241,        5041,
Fredropol               2245,        4942,
Frombork                1941,        5421,
Frysztak                2137,        4950,
Gać                     2222,        5002,
Galewice                1816,        5120,
Garbatka-Letnisko       2137,        5130,
Garbów                  2221,        5121,
Gardeja                 1857,        5337,
Garwolin                2138,        5154,
Gaszowice               1826,        5007,
Gaworzyce               1553,        5138,
Gąbin                   1943,        5224,
Gąsawa                  1745,        5246,
Gdańsk                  1838,        5422,
Gdów                    2012,        4954,
Gdynia                  1832,        5432,
Giby                    2322,        5402,
Gidle                   1928,        5058,
Gielniów                2028,        5124,
Gierałtowice            1843,        5013,
